Longitude,Latitude,Name,Icon
-77.0366,38.8979,White House,http://maps.google.com/mapfiles/kml/shapes/ranger_station.png
-77.0353,38.8895,Washington Monument,http://maps.google.com/mapfiles/kml/shapes/mechanic.png
-77.05013,38.8893,Lincoln Memorial,http://maps.google.com/mapfiles/kml/shapes/phone.png
-77.00914,38.8899,US Capitol,http://maps.google.com/mapfiles/kml/shapes/camera.png
